년도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2009,11318,13615,16299,16931,21972,18865,44093,45942,47109,48665,39700,35578
2010,20231,22803,21208,37859,56272,57298,65671,69466,54831,19558,14626,19053
2011,26695,51761,61911,60381,59622,54015,75826,74965,67116,46067,23995,28329
2012,29150,33694,74307,63831,71779,56171,62803,67453,26128,18356,30089,33827
2013,35456,32046,22325,22218,24817,31543,48087,38524,31480,23249,32135,29524
2014,37014,30000,30950,21736,21162,28910,30408,38518,45517,22215,21066,36050
2015,107920,77994,59930,58749,80258,73537,84239,95632,54426,44118,65043,82571
2016,100743,96612,61960,47120,88075,119976,130597,87518,84904,92533,51048,83351
2017,134703,213837,205521,289094,342218,304899,358513,338275,298212,280868,342876,341429
2018,339622,285291,374313,389574,402723,412201,403860,434989,329400,386269,424221,456078
2019,476214,442400,475062,453074,451020,407501,524501,537142,400760,518246,525188,640603
2020,660904,623654,646899,571233,532478,529236,675569,695835,665570,656765,629942,683628
2021,692932,599301,684409,530461,658610,649328,686251,662459,554258,509601,449371,646480
2022,647823,521431,640004,569750,399309,401602,590547,604353,336039,325788,267226,524443
2023,562203,375992,658329,579303,745423,653613,762754,771434,712904,677967,717590,808364
2024,88646,814743,892809,840963,790708,767243,938930,982530,911376,839207,896284,972723
2025,921346,816443,733886,819842,645870,697221,,,,,,
